"","sector","val","type","year"
"274","Del Rio",17.6,"got_away_pct",2009
"275","Del Rio",14.1,"got_away_pct",2010
"276","Del Rio",13.5,"got_away_pct",2011
"277","Laredo",29.8,"got_away_pct",2006
"278","Laredo",35.5,"got_away_pct",2007
"279","Laredo",22.3,"got_away_pct",2008
"280","Laredo",16.2,"got_away_pct",2009
"281","Laredo",13.2,"got_away_pct",2010
"282","Laredo",16,"got_away_pct",2011
"283","Rio Grande Valley",44.6,"got_away_pct",2006
"284","Rio Grande Valley",47.4,"got_away_pct",2007
"285","Rio Grande Valley",42.8,"got_away_pct",2008
"286","Rio Grande Valley",39.4,"got_away_pct",2009
"287","Rio Grande Valley",36.7,"got_away_pct",2010
"288","Rio Grande Valley",29.2,"got_away_pct",2011
